,Region,LAD code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
62,Wales,W06000002,Gwynedd,8901.0,8952.0,9437.0,9830.0,10385.0,10830.0,11053.0,11687.0,12110.0,12723.0,12938.0,13082.0,13306.0,13472.0,13628.0,13997.0,14247.0,14681.0,15158.0,15134.0,15298.0,15741.0,15941.0
63,Wales,W06000003,Conwy,10741.0,10812.0,11113.0,11687.0,12046.0,12468.0,12876.0,13284.0,13976.0,14006.0,14321.0,14933.0,14766.0,15063.0,15484.0,15994.0,16158.0,16533.0,16903.0,16826.0,17189.0,17904.0,18189.0
64,Wales,W06000004,Denbighshire,9943.0,9913.0,10107.0,10597.0,10966.0,11452.0,11733.0,12251.0,12861.0,13085.0,13369.0,14105.0,14050.0,14332.0,14869.0,15379.0,15479.0,15782.0,16304.0,16230.0,16528.0,17628.0,17901.0
65,Wales,W06000008,Ceredigion,8868.0,8955.0,8958.0,9120.0,9577.0,9994.0,10588.0,10875.0,11353.0,12271.0,12443.0,13119.0,13317.0,13664.0,14014.0,14286.0,14502.0,14913.0,15383.0,15551.0,15902.0,16612.0,17065.0
66,Wales,W06000009,Pembrokeshire,9614.0,9658.0,9993.0,10194.0,10565.0,11234.0,11689.0,12113.0,12677.0,13375.0,13623.0,14137.0,14163.0,14505.0,14765.0,15378.0,15533.0,15874.0,16236.0,16260.0,16418.0,17178.0,17207.0
67,Wales,W06000010,Carmarthenshire,8931.0,9071.0,9366.0,9470.0,9894.0,10299.0,10749.0,11093.0,11896.0,12490.0,12735.0,13426.0,13549.0,13859.0,14309.0,14908.0,15080.0,15404.0,15806.0,15849.0,16006.0,16728.0,16928.0
68,Wales,W06000016,Rhondda Cynon Taf,8103.0,7998.0,8398.0,9148.0,9753.0,10200.0,10438.0,10961.0,11360.0,11628.0,12075.0,12413.0,12436.0,12719.0,12930.0,13345.0,13604.0,13869.0,14372.0,14462.0,14948.0,15728.0,15945.0
69,Wales,W06000024,Merthyr Tydfil,8285.0,8093.0,8560.0,9398.0,10025.0,10432.0,10688.0,11287.0,11785.0,12019.0,12451.0,12806.0,12730.0,12966.0,13127.0,13580.0,13883.0,14137.0,14514.0,14535.0,15134.0,15366.0,15592.0
70,Wales,W06000018,Caerphilly,9407.0,9391.0,9875.0,10796.0,10936.0,11045.0,11545.0,11903.0,12010.0,12091.0,12593.0,12868.0,12666.0,12856.0,13180.0,13726.0,14042.0,14194.0,14723.0,14978.0,15187.0,15841.0,15992.0
71,Wales,W06000019,Blaenau Gwent,7562.0,7530.0,8094.0,8862.0,9054.0,9266.0,9626.0,10118.0,10323.0,10283.0,10692.0,11043.0,11135.0,11408.0,11637.0,12118.0,12375.0,12512.0,13058.0,13323.0,13595.0,14179.0,14630.0
72,Wales,W06000020,Torfaen,8848.0,8905.0,9491.0,10287.0,10533.0,10781.0,11337.0,11708.0,11796.0,11874.0,12404.0,12747.0,12680.0,13001.0,13301.0,13871.0,14158.0,14274.0,14838.0,15147.0,15393.0,16047.0,16505.0
73,Wales,W06000012,Neath Port Talbot,9548.0,9679.0,9867.0,10783.0,11047.0,10871.0,11274.0,11749.0,12084.0,12402.0,13082.0,13596.0,13415.0,13592.0,13665.0,14157.0,14560.0,14885.0,15342.0,15298.0,15728.0,16350.0,16442.0
74,Wales,W06000013,Bridgend,9998.0,10040.0,10383.0,11230.0,11446.0,11479.0,11842.0,12198.0,12374.0,12725.0,13055.0,13381.0,13494.0,13646.0,13722.0,14298.0,14730.0,15024.0,15430.0,15492.0,16021.0,16749.0,17047.0
75,Wales,W06000011,Swansea,9492.0,9601.0,10049.0,10494.0,11151.0,11476.0,11714.0,12072.0,12114.0,12489.0,12728.0,13772.0,13861.0,13600.0,13680.0,14162.0,14247.0,14986.0,15248.0,15009.0,15276.0,15997.0,16262.0
76,Wales,W06000021,Monmouthshire,11681.0,11760.0,12552.0,13919.0,14259.0,14945.0,15082.0,15059.0,15608.0,16079.0,17193.0,17718.0,16817.0,17228.0,17721.0,18198.0,18138.0,19095.0,19749.0,20004.0,20358.0,21378.0,21392.0
77,Wales,W06000022,Newport,8819.0,8692.0,9445.0,10253.0,10642.0,11100.0,11352.0,11674.0,12071.0,12516.0,13171.0,13653.0,13481.0,13699.0,14101.0,14689.0,14747.0,15291.0,15803.0,16087.0,16323.0,17417.0,17977.0
78,Wales,W06000014,Vale of Glamorgan,10910.0,11067.0,11633.0,12245.0,12391.0,12681.0,13317.0,13832.0,14066.0,14664.0,15173.0,15956.0,15855.0,16137.0,16433.0,16702.0,16894.0,17479.0,18323.0,18240.0,18844.0,19960.0,19987.0
79,Wales,W06000015,Cardiff,9673.0,9908.0,10457.0,11106.0,11498.0,12000.0,12379.0,12695.0,12839.0,13419.0,13652.0,14140.0,14225.0,14503.0,14752.0,15005.0,15102.0,15401.0,15945.0,15911.0,16519.0,17438.0,17431.0
80,Wales,W06000005,Flintshire,10131.0,10126.0,10591.0,11577.0,11781.0,12014.0,12488.0,13024.0,13298.0,13631.0,13987.0,14452.0,14380.0,14775.0,15359.0,15810.0,16235.0,16794.0,17606.0,17728.0,18154.0,18712.0,18722.0
81,Wales,W06000006,Wrexham,9350.0,9351.0,9793.0,10827.0,11002.0,11353.0,11786.0,12335.0,12617.0,12860.0,13163.0,13641.0,13505.0,13849.0,14351.0,14767.0,15116.0,15643.0,16394.0,16552.0,17006.0,17674.0,17785.0
